word,count
0,91367
50k,48842
united,43832
states,43832
white,41762
married,39161
private,33906
male,32650
40,23990
spouse,23044
civ,22379
husband,19716
not,16445
female,16192
never,16127
9,15811
hs,15784
grad,15784
in,12583
family,12583
10,11303
some,10878
college,10878
13,8053
bachelors,8025
own,7581
child,7581
prof,7006
other,6835
divorced,6633
gov,6549
specialty,6172
repair,6112
craft,6112
managerial,6086
exec,6086
adm,5611
clerical,5611
self,5557
emp,5557
inc,5557
sales,5504
unmarried,5125
50,5112
service,4923
black,4685
45,3813
assoc,3662
35,3274
local,3136
op,3022
machine,3022
inspct,3022
30,2978
20,2975
14,2712
masters,2657
60,2626
transport,2355
moving,2355
wife,2331
25,2153
11,2081
handlers,2072
cleaners,2072
voc,2061
state,1981
38,1978
7,1857
12,1848
11th,1812
36,1684
32,1676
55,1672
48,1615
acdm,1601
24,1560
separated,1530
37,1522
pac,1519
asian,1519
islander,1519
widowed,1518
relative,1506
42,1503
farming,1490
fishing,1490
6,1481
15,1457
support,1446
tech,1446
federal,1432
28,1420
33,1396
10th,1389
44,1377
23,1369
34,1351
31,1337
43,1331
41,1294
27,1275
39,1269
22,1240
29,1238
46,1226
serv,1225
26,1193
47,1163
21,1142
19,1072
4,1039
18,991
protective,983
8th,955
7th,955
mexico,951
52,943
51,897
16,897
49,886
8,875
5,851
school,834
9th,756
53,750
56,705
54,675
12th,657
65,639
17,637
absent,628
doctorate,594
58,593
70,570
57,570
3,568
59,530
15024,513
6th,509
5th,509
amer,470
eskimo,470
indian,470
61,454
62,417
7688,410
7298,364
64,362
63,350
1902,304
2,300
philippines,295
66,260
1977,253
80,248
1st,247
4th,247
67,244
99999,244
priv,242
house,242
1887,233
72,227
germany,206
68,194
puerto,184
rico,184
canada,182
75,177
el,155
salvador,155
3103,152
india,151
69,150
5178,146
cuba,138
99,137
england,127
china,122
71,118
5013,117
south,115
73,112
1,110
4386,108
jamaica,106
italy,105
republic,103
dominican,103
90,97
japan,92
guatemala,88
poland,87
vietnam,86
columbia,85
84,85
2174,84
preschool,83
8614,82
3325,81
74,80
1848,76
haiti,75
76,73
2415,72
1485,71
portugal,67
taiwan,65
10520,64
4650,63
77,63
1602,62
1590,62
iran,59
1876,59
1740,58
27828,58
4064,54
594,52
3137,51
1672,50
greece,49
nicaragua,49
20051,49
14084,49
78,47
peru,46
ecuador,45
1741,44
1564,43
2829,42
13550,42
6849,42
3908,42
81,40
2258,39
france,38
1719,38
af,37
ireland,37
1055,37
1980,36
1669,35
1408,35
4787,35
2001,35
14344,34
3411,34
2002,33
3464,33
2597,31
2176,31
79,31
9386,31
thailand,30
1579,30
hong,30
2885,30
2051,29
4101,29
